Model,Test Loss,Test Perplexity,Switch Accuracy,Embedding Dim,Hidden Dim,Layers
GRU LM,4.030971662521362,56.31560443336087,0.7478090575275398,64,128,1
CNN LM,4.2374485473632815,69.23098671960751,0.7477600979192166,64,128,3
